epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.827,1.0158,4.1328,0.01896,0.62836,0.61622,0.62589,0.35886,1.14766,4.84548,0.03423,0.000663551,0.000663551,0.000663551
2,548.177,1.23744,2.4851,0.0238,0.76196,0.71408,0.77616,0.46629,1.2504,1.99442,0.03709,0.00132892,0.00132892,0.00132892
3,830.155,1.37756,1.88335,0.02686,0.63784,0.60182,0.63286,0.31178,1.50898,1.78,0.05018,0.00198909,0.00198909,0.00198909
4,1109.18,1.41261,1.71741,0.02747,0.72519,0.68872,0.74263,0.40786,1.42273,1.38012,0.04474,0.00198246,0.00198246,0.00198246
5,1378.83,1.39281,1.61886,0.02709,0.74181,0.72374,0.76478,0.43199,1.36098,1.4136,0.04377,0.0019689,0.0019689,0.0019689
6,1631.92,1.3372,1.52271,0.02638,0.77284,0.72763,0.78962,0.46674,1.38789,1.17679,0.04449,0.00195155,0.00195155,0.00195155
7,1886.56,1.32364,1.45582,0.0257,0.68689,0.65158,0.68979,0.40583,1.40325,1.4667,0.04477,0.00193048,0.00193048,0.00193048
8,2149.12,1.29452,1.41457,0.02528,0.77325,0.76005,0.82075,0.51832,1.26475,0.97056,0.03927,0.00190578,0.00190578,0.00190578
9,2420,1.28245,1.35689,0.02467,0.76207,0.75097,0.79884,0.47883,1.34112,1.12678,0.04218,0.00187754,0.00187754,0.00187754
10,2691.8,1.27746,1.40056,0.02459,0.8101,0.74696,0.81447,0.51955,1.23621,1.01136,0.03807,0.00184588,0.00184588,0.00184588
11,2967.91,1.26093,1.33453,0.02466,0.82297,0.7834,0.86295,0.59425,1.05869,0.87103,0.03108,0.00181093,0.00181093,0.00181093
12,3239.98,1.23463,1.29802,0.02354,0.8,0.73022,0.82291,0.55668,1.13926,0.95349,0.03447,0.00177281,0.00177281,0.00177281
13,3515.44,1.22595,1.27045,0.02383,0.8462,0.75642,0.84584,0.55906,1.15333,0.95572,0.03505,0.00173168,0.00173168,0.00173168
14,3790.03,1.21682,1.26154,0.02327,0.83069,0.82101,0.87706,0.58438,1.10623,0.83098,0.03286,0.0016877,0.0016877,0.0016877
15,4068.39,1.19441,1.20742,0.02266,0.86313,0.83009,0.89638,0.63869,1.02018,0.73524,0.02949,0.00164105,0.00164105,0.00164105
16,4346.58,1.19212,1.16279,0.02275,0.82127,0.84047,0.87895,0.61722,1.0161,0.78323,0.03017,0.00159191,0.00159191,0.00159191
17,4623.95,1.16051,1.16711,0.02231,0.8733,0.83268,0.90344,0.65216,0.98474,0.71644,0.02899,0.00154047,0.00154047,0.00154047
18,4899.71,1.1321,1.13168,0.02163,0.89025,0.84436,0.90281,0.66481,0.93613,0.69444,0.02718,0.00148694,0.00148694,0.00148694
19,5177.63,1.11849,1.13497,0.02119,0.891,0.84436,0.91313,0.67015,0.93264,0.70368,0.02723,0.00143152,0.00143152,0.00143152
20,5455.85,1.13301,1.13832,0.02161,0.87318,0.83398,0.90949,0.67512,0.926,0.67832,0.02663,0.00137444,0.00137444,0.00137444
21,5741.68,1.13053,1.11596,0.02146,0.90451,0.79377,0.88477,0.62728,1.01493,0.73779,0.03087,0.00131593,0.00131593,0.00131593
22,6030.14,1.07874,1.06103,0.02015,0.90232,0.869,0.92897,0.69939,0.88924,0.64185,0.02525,0.0012562,0.0012562,0.0012562
23,6310.35,1.07181,1.03305,0.02031,0.89756,0.85992,0.92191,0.68305,0.90554,0.6696,0.02632,0.00119551,0.00119551,0.00119551
24,6589.4,1.07807,1.05864,0.02033,0.88643,0.85035,0.91557,0.6749,0.94562,0.68296,0.02773,0.00113408,0.00113408,0.00113408
25,6866.7,1.08155,1.0043,0.02044,0.891,0.86942,0.92435,0.70147,0.89534,0.58588,0.02583,0.00107216,0.00107216,0.00107216
26,7146.62,1.04512,0.99049,0.01968,0.9133,0.84306,0.91933,0.69448,0.89704,0.6125,0.02599,0.00101,0.00101,0.00101
27,7424.95,1.03301,0.99791,0.01935,0.92448,0.85992,0.92667,0.71688,0.84274,0.55712,0.02374,0.000947837,0.000947837,0.000947837
28,7706.41,1.024,0.96335,0.01889,0.91505,0.89754,0.93774,0.73548,0.81373,0.53483,0.02337,0.00088592,0.00088592,0.00088592
29,7982.98,0.99704,0.94748,0.01853,0.92173,0.88585,0.93579,0.73036,0.82516,0.52818,0.02336,0.000824492,0.000824492,0.000824492
