epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,8267.27,0.99295,0.92838,0.0185,0.94272,0.869,0.94718,0.74507,0.79552,0.51331,0.02247,0.000763797,0.000763797,0.000763797
31,8549.02,0.98398,0.91099,0.0183,0.92606,0.87721,0.94093,0.73986,0.79853,0.50092,0.02291,0.000704073,0.000704073,0.000704073
32,8829.87,0.98497,0.91835,0.01862,0.90742,0.87678,0.94078,0.74429,0.78503,0.51467,0.02198,0.000645557,0.000645557,0.000645557
33,9111.8,0.96536,0.9058,0.01804,0.91899,0.90143,0.95021,0.74999,0.79029,0.47985,0.0224,0.000588479,0.000588479,0.000588479
34,9397.11,0.93684,0.88956,0.01762,0.91342,0.91685,0.94495,0.75283,0.75367,0.49037,0.02124,0.000533064,0.000533064,0.000533064
35,9679.6,0.92493,0.87238,0.01742,0.91666,0.91303,0.94957,0.75505,0.76037,0.48319,0.02142,0.000479531,0.000479531,0.000479531
36,9963.84,0.93965,0.86965,0.01729,0.92744,0.90402,0.94835,0.76518,0.73979,0.4756,0.02062,0.000428093,0.000428093,0.000428093
37,10247.3,0.90854,0.84143,0.01671,0.91845,0.90791,0.94722,0.76924,0.72081,0.46012,0.01995,0.00037895,0.00037895,0.00037895
38,10533,0.90095,0.83519,0.01672,0.92502,0.90272,0.9515,0.77031,0.73236,0.45439,0.02038,0.000332298,0.000332298,0.000332298
39,10814.4,0.8873,0.82878,0.01648,0.92646,0.91507,0.94926,0.77853,0.70557,0.44054,0.01957,0.000288321,0.000288321,0.000288321
40,11098.9,0.89107,0.81054,0.01641,0.93913,0.92049,0.94939,0.77815,0.70935,0.4432,0.01967,0.000247192,0.000247192,0.000247192
41,11394.4,0.68239,0.46643,0.01655,0.93995,0.89883,0.95255,0.77416,0.71471,0.4639,0.01977,0.000209073,0.000209073,0.000209073
42,11672.9,0.65121,0.38569,0.01525,0.93036,0.91569,0.95221,0.77583,0.71315,0.45202,0.01965,0.000174115,0.000174115,0.000174115
43,11952.2,0.64024,0.38774,0.01516,0.93407,0.91876,0.95847,0.78513,0.69921,0.43485,0.01905,0.000142456,0.000142456,0.000142456
44,12227.7,0.62667,0.36479,0.01464,0.92658,0.93126,0.95512,0.78153,0.70112,0.42978,0.01931,0.000114221,0.000114221,0.000114221
45,12501.9,0.62676,0.36323,0.01483,0.93264,0.91584,0.95425,0.77811,0.69717,0.42954,0.01923,8.95213e-05,8.95213e-05,8.95213e-05
46,12782,0.62434,0.36324,0.01448,0.93223,0.92783,0.95637,0.78445,0.69514,0.41701,0.01907,6.8454e-05,6.8454e-05,6.8454e-05
47,13057.7,0.61275,0.35277,0.01401,0.92651,0.92607,0.95243,0.784,0.69613,0.42987,0.01912,5.11027e-05,5.11027e-05,5.11027e-05
48,13333.2,0.59902,0.33744,0.01395,0.92486,0.92594,0.95274,0.7825,0.69059,0.43146,0.01891,3.75356e-05,3.75356e-05,3.75356e-05
49,13613.1,0.60933,0.33977,0.01415,0.93786,0.92002,0.95305,0.78282,0.69145,0.43412,0.01893,2.78064e-05,2.78064e-05,2.78064e-05
50,13886.4,0.60228,0.34157,0.01399,0.93357,0.91958,0.95327,0.7834,0.691,0.43666,0.0189,2.19535e-05,2.19535e-05,2.19535e-05
